Location,Latitude,Longitude,Deaths
Hubei,30.737812,112.238403,3046
Zhejiang,29.159849,120.326447,1
Guangdong,23.379032,113.763283,8
Henan,33.875408,113.484016,22
Hunan,36.734131,95.934486,4
Anhui,30.6007,117.9249,6
Jiangxi,27.0875,114.9042,1
Chongqing,29.4316,106.9123,6
Jiangsu,33.1402,119.7889,0
Sichuan,30.2638,102.8055,3
Shandong,35.894,117.9249,6
Beijing,39.9042,116.4074,8
Shanghai,31.2304,121.4737,3
Fujian,26.4837,117.9249,1
Heilongjiang,47.1216,128.7382,13
Shaanxi,35.394,109.188,1
Guangxi,23.7248,108.8076,2
Hebei,37.8957,114.9042,3
Yunnan,24.4753,101.3431,2
Hainan,19.5664,109.9497,6
Liaoning,41.9437,122.529,1
Shanxi,37.2426,111.8569,0
Tianjin,39.3434,117.3616,3
Gansu,35.7518,104.2861,2
Guizhou,26.843,107.2903,2
Jilin,43.152,126.4371,1
Inner Mongolia,43.3782,115.0595,1
Ningxia,37.1987,106.1581,0
Xinjiang,42.5246,87.5396,3
Hong Kong SAR,22.3193,114.1694,3
Qinghai,35.7448,96.4077,0
Taipei,25.033,121.5654,1
Macao SAR,22.1987,113.5439,0
Xizang,30.1534,88.7879,0
